               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.019331,            0.079028,          0.00017002,             0.82559,             0.78478,             0.74719,             0.28541,            0.030797,             0.47288,          0.00032783,            0.005743,            0.005743,            0.005743
                 131,            0.019303,            0.079549,          0.00016239,             0.82729,             0.78108,             0.74292,             0.28323,             0.03074,              0.4742,          0.00030855,             0.00571,             0.00571,             0.00571
                 132,            0.019164,            0.079622,          0.00016818,              0.8206,             0.77739,             0.74191,             0.28226,            0.030937,             0.47666,          0.00035304,            0.005677,            0.005677,            0.005677
                 133,             0.01931,            0.079218,          0.00015229,             0.82332,             0.77849,             0.74279,              0.2831,            0.030938,             0.47743,          0.00039164,            0.005644,            0.005644,            0.005644
                 134,            0.019365,             0.07981,          0.00016161,             0.81461,             0.77438,             0.72967,             0.28134,            0.030939,             0.47689,          0.00046839,            0.005611,            0.005611,            0.005611
                 135,            0.019009,            0.079636,          0.00015393,             0.81711,             0.77263,             0.72949,             0.28137,            0.031037,             0.47756,          0.00047008,            0.005578,            0.005578,            0.005578
                 136,            0.019243,            0.079579,          0.00016443,             0.82139,             0.77735,             0.73676,             0.28417,            0.030916,             0.47486,          0.00046115,            0.005545,            0.005545,            0.005545
                 137,            0.018912,            0.079181,          0.00014953,             0.81545,              0.7718,             0.72911,             0.28264,             0.03089,             0.47566,          0.00047388,            0.005512,            0.005512,            0.005512
                 138,             0.01952,            0.079158,          0.00016456,             0.82151,             0.77799,             0.73617,             0.28079,            0.030958,             0.47761,          0.00049134,            0.005479,            0.005479,            0.005479
                 139,            0.019062,            0.079471,          0.00018174,             0.82226,               0.777,              0.7367,              0.2821,            0.030877,             0.47601,          0.00042402,            0.005446,            0.005446,            0.005446
                 140,             0.01904,            0.078804,          0.00016149,             0.82742,             0.78327,             0.74343,             0.28119,            0.030842,             0.47586,          0.00038997,            0.005413,            0.005413,            0.005413
                 141,            0.018836,            0.077935,          0.00015183,             0.82888,             0.78143,             0.73954,             0.28284,             0.03084,             0.47566,          0.00036666,             0.00538,             0.00538,             0.00538
                 142,            0.018936,            0.078511,          0.00015209,             0.82853,             0.78634,             0.74252,             0.28312,             0.03072,             0.47481,          0.00049086,            0.005347,            0.005347,            0.005347
                 143,            0.019174,            0.079098,           0.0001557,              0.8248,             0.78249,              0.7344,             0.28245,            0.030682,             0.47486,          0.00056211,            0.005314,            0.005314,            0.005314
                 144,            0.019029,            0.078581,          0.00015057,             0.82068,             0.78204,             0.73433,              0.2798,            0.030702,             0.47543,           0.0004622,            0.005281,            0.005281,            0.005281
                 145,            0.019167,            0.078246,          0.00014884,             0.81972,             0.78207,             0.73504,             0.28066,             0.03081,             0.47738,          0.00039896,            0.005248,            0.005248,            0.005248
                 146,            0.018875,            0.078619,          0.00014826,             0.82486,             0.77889,             0.73856,              0.2815,            0.030829,             0.47751,          0.00035977,            0.005215,            0.005215,            0.005215
                 147,            0.018849,            0.077711,          0.00015867,             0.82601,             0.78124,             0.74219,             0.28241,            0.030857,              0.4795,          0.00038822,            0.005182,            0.005182,            0.005182
                 148,             0.01872,            0.078343,          0.00015839,             0.82479,             0.77608,             0.73985,             0.28009,              0.0308,             0.47942,          0.00041497,            0.005149,            0.005149,            0.005149
                 149,            0.018985,            0.078438,          0.00016999,             0.83026,             0.78408,             0.74529,             0.28397,            0.030793,             0.47983,          0.00038635,            0.005116,            0.005116,            0.005116
                 150,            0.018836,            0.078512,           0.0001628,             0.82746,             0.79109,              0.7501,             0.28588,            0.030733,             0.47919,          0.00038789,            0.005083,            0.005083,            0.005083
                 151,            0.018752,            0.078823,           0.0001496,             0.83047,              0.7877,             0.74899,             0.28526,            0.030739,             0.47973,          0.00035996,             0.00505,             0.00505,             0.00505
                 152,            0.018808,            0.078061,          0.00015982,             0.82672,             0.78416,              0.7427,             0.28379,            0.030756,             0.47914,          0.00042008,            0.005017,            0.005017,            0.005017
                 153,            0.019051,            0.078109,          0.00013764,             0.82609,             0.78274,             0.74484,             0.28436,            0.030824,             0.47889,           0.0004302,            0.004984,            0.004984,            0.004984
                 154,            0.018575,            0.078158,          0.00014663,             0.82358,             0.78062,             0.74112,             0.28243,            0.030804,             0.47883,          0.00039532,            0.004951,            0.004951,            0.004951
                 155,            0.018744,            0.077744,           0.0001634,             0.82318,             0.77809,             0.73969,             0.28252,            0.030885,             0.47984,          0.00041398,            0.004918,            0.004918,            0.004918
                 156,            0.018292,            0.076771,          0.00014027,             0.82747,             0.78058,             0.74223,             0.28335,            0.030817,             0.48008,          0.00034399,            0.004885,            0.004885,            0.004885
                 157,            0.018503,            0.078142,          0.00014958,             0.82277,             0.77806,             0.73429,             0.28207,            0.030813,             0.48101,          0.00034775,            0.004852,            0.004852,            0.004852
                 158,            0.018689,            0.078535,          0.00014868,             0.82276,             0.78068,             0.73466,             0.28132,            0.030868,              0.4813,          0.00035419,            0.004819,            0.004819,            0.004819
                 159,            0.018523,            0.077417,          0.00014081,             0.82259,             0.77805,             0.73248,             0.28063,            0.030885,             0.48224,          0.00037477,            0.004786,            0.004786,            0.004786
